SYSTEMATIC.name	Gene.proteins.secondaryIdentifier	PROTEINS.molecular_weight	PROTEINS.pI	PROTEINS.gravy_score	PROTEINS.aromaticity_score	PROTEINS.cai	PROTEINS.instability_index	PROTEINS.aliphatic_index
YHL045W	YHL045W	13318.9	8.38	0.29	0.17	0.13	45.39	82.27
YHL046C	YHL046C	12876.8	4.96	0.23	0.09	0.61	18.53	89.33
YHL046W-A	YHL046W-A	12273.1	4.88	0.38	0.16	0.12	44.06	91.79
YHL047C	YHL047C	69572.0	8.4	0.39	0.13	0.13	33.53	100.14
YHL048C-A	YHL048C-A	5101.2	10.25	0.19	0.11	0.08	55.71	90.3
YHL048W	YHL048W	45883.8	8.51	-0.16	0.18	0.12	40.15	78.78
YHL049C	YHL049C	31514.8	9.4	-0.41	0.11	0.13	31.22	73.49
YHL050C	YHL050C	79021.4	6.59	-0.36	0.1	0.1	39.5	75.68
YHL050W-A	YHL050W-A	18617.2	10.02	0.34	0.14	0.09	50.77	101.35
YHR001W	YHR001W	49803.1	7.25	-0.57	0.09	0.15	47.35	76.85
YHR001W-A	YHR001W-A	8594.0	8.99	-0.22	0.12	0.14	35.92	78.55
YHR002W	YHR002W	40842.8	10.0	-0.11	0.13	0.1	42.87	83.41
YHR003C	YHR003C	48880.8	6.78	-0.3	0.07	0.13	39.01	87.69
YHR004C	YHR004C	50650.1	9.35	-0.47	0.08	0.12	47.55	85.23
YHR005C	YHR005C	54077.2	7.7	-0.52	0.09	0.15	44.57	80.55
YHR005C-A	YHR005C-A	10303.8	5.02	-0.49	0.1	0.24	40.04	56.64
YHR006W	YHR006W	60784.8	6.26	-0.76	0.07	0.12	60.21	67.21
YHR007C	YHR007C	60726.8	8.95	-0.22	0.12	0.51	38.59	81.85
YHR007C-A	YHR007C-A	8393.2	11.23	-0.45	0.07	0.12	54.83	92.67
YHR008C	YHR008C	25776.4	8.87	-0.35	0.11	0.23	27.45	78.21
YHR009C	YHR009C	57596.3	5.67	-0.38	0.07	0.17	50.07	83.02
YHR010W	YHR010W	15551.6	11.08	-0.52	0.1	0.74	19.81	68.13
YHR011W	YHR011W	50399.6	9.06	-0.42	0.07	0.1	37.88	84.49
YHR012W	YHR012W	30993.7	4.29	-0.52	0.07	0.15	23.57	76.57
YHR013C	YHR013C	27586.4	4.52	-0.55	0.07	0.18	48.44	84.9
YHR014W	YHR014W	33308.0	10.08	-0.92	0.09	0.12	55.84	63.24
YHR015W	YHR015W	75950.7	10.03	-0.63	0.09	0.14	39.4	72.64
YHR016C	YHR016C	50903.5	8.3	-0.73	0.09	0.15	42.15	55.84
YHR017W	YHR017W	44244.5	9.22	-0.12	0.12	0.11	42.36	92.05
YHR018C	YHR018C	51975.6	5.48	-0.29	0.09	0.23	36.72	85.18
YHR019C	YHR019C	62196.4	5.59	-0.38	0.09	0.4	40.22	79.05
YHR020W	YHR020W	77378.9	6.35	-0.39	0.09	0.35	43.99	74.44
YHR021C	YHR021C	8871.5	9.51	-0.09	0.05	0.66	44.9	77.24
YHR021W-A	YHR021W-A	17442.6	10.41	0.56	0.19	0.12	50.67	96.31
YHR022C	YHR022C	28995.3	6.99	-0.18	0.09	0.13	40.03	89.63
YHR022C-A	YHR022C-A	3509.2	10.72	0.0	0.24	0.13	17.78	58.16
YHR023W	YHR023W	223618.0	6.33	-0.78	0.07	0.16	45.58	82.5
YHR024C	YHR024C	53331.2	6.3	-0.3	0.09	0.14	39.56	81.29
YHR025W	YHR025W	38705.8	5.05	-0.06	0.06	0.27	43.94	95.01
YHR026W	YHR026W	22597.9	8.43	0.92	0.12	0.25	12.33	125.88
YHR027C	YHR027C	109406.5	4.25	-0.28	0.07	0.21	34.55	90.73
YHR028C	YHR028C	93374.8	5.18	-0.44	0.13	0.14	32.6	76.55
YHR028W-A	YHR028W-A	11962.1	9.41	0.36	0.13	0.09	64.01	97.44
YHR029C	YHR029C	32557.7	5.44	-0.11	0.1	0.16	26.64	83.0
YHR030C	YHR030C	55617.4	4.98	-0.52	0.1	0.14	45.95	75.35
YHR031C	YHR031C	81614.4	10.31	-0.39	0.07	0.14	39.53	86.23
YHR032C-A	YHR032C-A	4397.7	10.25	0.29	0.05	0.08	59.67	76.52
YHR032W	YHR032W	64199.7	6.06	0.14	0.09	0.12	41.25	94.77
YHR032W-A	YHR032W-A	6747.1	11.12	-0.18	0.1	0.06	17.21	69.32
YHR033W	YHR033W	46855.0	5.98	-0.17	0.06	0.1	33.14	99.91
YHR034C	YHR034C	39511.8	5.71	-0.49	0.07	0.09	55.91	85.37
YHR035W	YHR035W	72322.1	8.7	-0.31	0.1	0.15	45.59	82.47
YHR036W	YHR036W	53355.5	4.49	-0.63	0.09	0.13	59.21	68.29
YHR037W	YHR037W	64433.7	7.0	-0.31	0.12	0.18	39.29	74.22
YHR038W	YHR038W	26424.1	10.59	-0.6	0.07	0.15	33.63	83.8
YHR039C	YHR039C	71323.6	7.75	-0.11	0.1	0.21	36.15	84.61
YHR039C-A	YHR039C-A	12715.8	9.67	-0.76	0.03	0.38	28.84	86.12
YHR040W	YHR040W	42325.4	6.0	-0.86	0.07	0.1	47.59	57.84
YHR041C	YHR041C	22888.3	5.06	-0.01	0.07	0.08	27.06	98.77
YHR042W	YHR042W	76748.2	4.8	-0.25	0.1	0.23	33.64	82.78
YHR043C	YHR043C	27161.3	5.4	-0.23	0.08	0.15	17.95	85.4
YHR044C	YHR044C	27094.0	4.99	-0.15	0.09	0.15	14.42	89.66
YHR045W	YHR045W	62691.6	7.06	-0.08	0.1	0.12	31.78	93.99
YHR046C	YHR046C	32815.5	4.92	-0.24	0.11	0.14	25.02	77.63
YHR047C	YHR047C	97637.2	4.91	-0.28	0.11	0.21	36.7	82.26
YHR048W	YHR048W	57848.5	8.94	0.41	0.15	0.1	37.09	92.83
YHR049C-A	YHR049C-A	11551.1	11.45	0.13	0.13	0.07	50.04	88.01
YHR049W	YHR049W	27334.4	6.31	-0.35	0.09	0.38	31.81	83.92
YHR050W	YHR050W	59760.7	5.85	0.36	0.09	0.11	38.69	108.09
YHR050W-A	YHR050W-A	6582.9	9.37	0.0	0.12	0.12	37.06	85.89
YHR051W	YHR051W	17339.8	5.86	-0.58	0.11	0.25	52.17	73.63
YHR052C-B	YHR052C-B	5871.75	11.22	-0.21	0.0	0.05	13.65	78.95
YHR052W	YHR052W	42535.1	9.39	-0.59	0.06	0.24	36.98	85.27
YHR052W-A	YHR052W-A	7522.0	9.3	0.18	0.17	0.13	62.8	74.23
YHR053C	YHR053C	6649.6	5.74	-1.05	0.03	0.23	46.75	13.27
YHR054C	YHR054C	41059.4	6.8	-0.13	0.12	0.17	37.86	94.56
YHR054C-B	YHR054C-B	5871.75	11.22	-0.21	0.0	0.05	13.65	78.95
YHR054W-A	YHR054W-A	7522.0	9.3	0.18	0.17	0.13	62.8	74.23
YHR055C	YHR055C	6649.6	5.74	-1.05	0.03	0.23	46.75	13.27
YHR056C	YHR056C	101340.7	8.26	-0.34	0.11	0.15	42.17	82.14
YHR056W-A	YHR056W-A	16251.4	11.73	0.18	0.06	0.1	52.21	116.62
YHR057C	YHR057C	22765.0	6.02	-0.26	0.11	0.14	9.16	74.64
YHR058C	YHR058C	32814.3	4.96	-0.48	0.08	0.13	46.79	68.35
YHR059W	YHR059W	15307.9	11.0	-0.89	0.12	0.15	42.42	63.12
YHR060W	YHR060W	21074.9	5.16	-0.94	0.08	0.16	62.66	70.89
YHR061C	YHR061C	35233.6	6.52	-0.89	0.06	0.14	50.91	60.2
YHR062C	YHR062C	32238.8	10.34	-0.16	0.05	0.1	42.09	100.93
YHR063C	YHR063C	42818.8	6.62	-0.2	0.08	0.2	42.69	88.1
YHR063W-A	YHR063W-A	12208.4	10.45	0.72	0.16	0.07	38.77	99.5
YHR064C	YHR064C	58215.1	4.68	-0.2	0.07	0.46	28.33	93.42
YHR065C	YHR065C	55981.6	9.71	-0.38	0.05	0.19	32.36	88.47
YHR066W	YHR066W	51776.8	9.96	-0.9	0.04	0.19	49.59	72.39
YHR067W	YHR067W	33062.6	8.92	-0.44	0.12	0.12	50.66	76.57
YHR068W	YHR068W	42883.6	5.49	-0.24	0.08	0.42	33.42	82.61
YHR069C	YHR069C	39422.8	6.18	-0.39	0.06	0.13	40.76	82.84
YHR069C-A	YHR069C-A	13251.5	6.49	0.49	0.12	0.11	23.54	102.37
YHR070C-A	YHR070C-A	15292.3	9.93	0.11	0.08	0.08	20.6	86.8
YHR070W	YHR070W	56525.0	9.23	-0.28	0.09	0.14	43.76	82.62
YHR071C-A	YHR071C-A	12245.9	10.56	0.32	0.12	0.08	33.45	108.17
YHR071W	YHR071W	26478.6	9.82	-0.68	0.09	0.14	43.11	70.02
YHR072W	YHR072W	83452.0	6.59	-0.21	0.14	0.15	39.43	76.1
YHR072W-A	YHR072W-A	6642.9	10.78	-0.79	0.09	0.37	46.81	61.63
YHR073C-B	YHR073C-B	3072.6	9.3	0.08	0.19	0.11	52.07	71.81
YHR073W	YHR073W	113769.0	8.94	-0.73	0.09	0.13	46.31	68.61
YHR073W-A	YHR073W-A	6780.1	11.02	-0.48	0.1	0.07	59.6	80.96
YHR074W	YHR074W	80678.6	6.51	-0.2	0.09	0.17	46.15	85.59
YHR075C	YHR075C	44886.3	7.06	-0.27	0.1	0.13	31.44	83.28
YHR076W	YHR076W	37780.7	6.53	-0.4	0.1	0.17	31.11	75.12
YHR077C	YHR077C	126700.0	4.73	-0.66	0.09	0.15	46.12	80.3
YHR078W	YHR078W	63331.2	7.45	0.27	0.13	0.11	40.53	105.29
YHR079C	YHR079C	126965.0	6.55	-0.36	0.09	0.12	46.96	86.28
YHR079C-A	YHR079C-A	10827.5	6.75	-1.06	0.08	0.19	29.64	69.84
YHR080C	YHR080C	149691.6	9.18	-0.69	0.06	0.12	46.58	70.29
YHR081W	YHR081W	21056.5	10.27	-0.88	0.05	0.11	44.04	75.47
YHR082C	YHR082C	117065.0	6.56	-0.98	0.09	0.17	44.5	54.73
YHR083W	YHR083W	37403.6	7.18	-0.13	0.09	0.13	37.58	92.06
YHR084W	YHR084W	77855.5	5.35	-0.82	0.1	0.14	58.48	53.55
YHR085W	YHR085W	37883.4	10.14	-0.39	0.06	0.11	31.39	92.33
YHR086W	YHR086W	56977.1	8.51	-0.45	0.09	0.12	32.22	65.86
YHR086W-A	YHR086W-A	5991.2	9.92	0.22	0.15	0.1	60.78	71.04
YHR087W	YHR087W	12006.5	4.74	-0.48	0.08	0.27	22.16	75.35
YHR088W	YHR088W	35132.8	10.08	-0.83	0.09	0.18	47.0	75.04
YHR089C	YHR089C	21506.9	11.99	-0.68	0.09	0.21	34.25	46.17
YHR090C	YHR090C	32089.9	8.13	-0.89	0.05	0.18	64.15	66.98
YHR091C	YHR091C	73715.0	9.84	-0.29	0.1	0.11	37.57	85.74
YHR092C	YHR092C	63908.6	6.65	0.26	0.14	0.55	40.67	84.13
YHR093W	YHR093W	19788.3	10.13	-0.15	0.13	0.11	32.76	68.72
YHR094C	YHR094C	63263.0	7.45	0.3	0.15	0.41	34.91	80.59
YHR095W	YHR095W	19048.3	10.93	-0.15	0.09	0.1	47.27	87.25
YHR096C	YHR096C	66254.1	7.66	0.13	0.14	0.21	39.12	79.78
YHR097C	YHR097C	40682.7	10.62	-1.18	0.04	0.12	52.35	50.86
YHR098C	YHR098C	103937.2	6.24	-0.23	0.09	0.18	42.15	85.33
YHR099W	YHR099W	433141.3	6.51	-0.16	0.1	0.14	43.47	95.36
YHR100C	YHR100C	20949.4	9.04	-0.27	0.1	0.17	29.72	90.81
YHR101C	YHR101C	39061.9	4.93	-0.31	0.12	0.13	44.56	89.37
YHR102W	YHR102W	117066.0	8.18	-0.61	0.05	0.12	43.8	71.48
YHR103W	YHR103W	96402.6	8.14	-0.65	0.07	0.14	49.31	72.06
YHR104W	YHR104W	37117.1	7.09	-0.23	0.1	0.23	32.07	90.09
YHR105W	YHR105W	24648.2	8.46	-0.61	0.09	0.1	50.4	76.34
YHR106W	YHR106W	37085.8	6.88	-0.11	0.07	0.14	40.81	82.85
YHR107C	YHR107C	46669.5	8.23	-0.67	0.07	0.19	45.67	76.73
YHR108W	YHR108W	64341.5	6.45	-0.42	0.05	0.19	45.58	87.58
YHR109W	YHR109W	68253.6	4.62	-0.34	0.12	0.13	50.46	80.18
YHR110W	YHR110W	24246.9	6.79	-0.3	0.1	0.13	28.06	81.71
YHR111W	YHR111W	49357.9	6.51	-0.29	0.09	0.12	37.19	85.89
YHR112C	YHR112C	42434.4	5.76	-0.23	0.1	0.18	43.24	88.88
YHR113W	YHR113W	54170.1	7.03	-0.24	0.08	0.18	37.87	87.22
YHR114W	YHR114W	71162.0	5.77	-0.82	0.07	0.16	38.31	68.11
YHR115C	YHR115C	46094.5	6.78	-0.43	0.06	0.15	33.17	76.49
YHR116W	YHR116W	17319.0	7.88	-1.42	0.1	0.11	57.89	24.39
YHR117W	YHR117W	71849.9	5.99	-0.47	0.09	0.17	43.61	79.01
YHR118C	YHR118C	50299.3	8.04	-0.69	0.07	0.13	58.1	73.6
YHR119W	YHR119W	123937.2	9.36	-0.86	0.08	0.15	54.66	66.3
YHR120W	YHR120W	109424.8	9.04	-0.36	0.09	0.12	38.56	85.84
YHR121W	YHR121W	21320.8	10.07	-0.44	0.07	0.17	25.97	89.44
YHR122W	YHR122W	25653.1	4.29	-0.37	0.02	0.13	52.27	106.2
YHR123W	YHR123W	44555.0	6.5	0.42	0.16	0.12	42.7	99.05
YHR124W	YHR124W	71474.2	6.58	-0.67	0.09	0.12	56.74	67.91
YHR125W	YHR125W	11891.3	9.25	0.47	0.12	0.09	48.94	108.31
YHR126C	YHR126C	16633.6	5.66	-0.12	0.08	0.14	28.21	75.24
YHR127W	YHR127W	27153.5	11.21	-0.71	0.04	0.12	28.11	78.97
YHR128W	YHR128W	24591.7	5.44	-0.14	0.09	0.36	33.49	95.22
YHR129C	YHR129C	42990.9	5.17	-0.17	0.09	0.1	34.88	90.76
YHR130C	YHR130C	13395.8	7.07	0.57	0.23	0.11	28.11	98.06
YHR131C	YHR131C	96063.6	4.95	-0.87	0.06	0.13	69.45	65.56
YHR131W-A	YHR131W-A	9265.1	7.44	0.06	0.06	0.12	56.39	104.45
YHR132C	YHR132C	49809.4	4.94	-0.39	0.14	0.16	33.45	75.81
YHR132W-A	YHR132W-A	14402.5	10.38	-0.86	0.05	0.11	80.52	68.12
YHR133C	YHR133C	32219.7	9.09	0.28	0.14	0.15	32.74	95.16
YHR134W	YHR134W	30631.5	9.06	-0.6	0.06	0.12	37.39	80.79
YHR135C	YHR135C	61726.1	9.41	-0.95	0.08	0.18	58.12	62.72
YHR136C	YHR136C	17033.0	6.35	-0.94	0.09	0.1	69.03	58.41
YHR137C-A	YHR137C-A	23724.7	9.67	-0.01	0.09	0.11	31.32	87.84
YHR137W	YHR137W	58518.0	5.16	-0.33	0.12	0.17	40.25	76.03
YHR138C	YHR138C	12746.6	4.67	-0.07	0.09	0.17	30.19	98.12
YHR139C	YHR139C	34222.4	5.1	0.17	0.09	0.18	44.66	91.29
YHR139C-A	YHR139C-A	11912.3	10.27	-0.26	0.08	0.11	57.92	80.44
YHR140W	YHR140W	27159.2	10.07	0.28	0.14	0.13	38.06	97.68
YHR141C	YHR141C	12239.0	11.32	-1.05	0.08	0.8	35.92	45.17
YHR142W	YHR142W	34894.5	5.6	0.9	0.14	0.12	22.87	118.79
YHR143W	YHR143W	33408.4	4.12	0.0	0.07	0.18	60.28	72.03
YHR143W-A	YHR143W-A	7723.1	10.37	-0.33	0.04	0.31	32.2	73.79
YHR144C	YHR144C	35649.7	7.95	-0.29	0.07	0.13	38.39	83.49
YHR145C	YHR145C	13749.7	10.67	0.35	0.08	0.1	72.58	123.89
YHR146W	YHR146W	51116.2	7.51	-0.9	0.04	0.18	53.94	63.6
YHR147C	YHR147C	23902.2	10.58	-0.28	0.06	0.12	36.13	96.3
YHR148W	YHR148W	21897.8	10.33	-0.7	0.08	0.17	40.54	81.49
YHR149C	YHR149C	81812.6	4.63	-0.92	0.07	0.12	65.08	56.08
YHR150W	YHR150W	66146.9	7.12	-0.37	0.11	0.1	47.4	73.66
YHR151C	YHR151C	59808.0	4.85	-0.14	0.12	0.12	42.73	85.06
YHR152W	YHR152W	19919.6	10.03	-1.11	0.06	0.12	55.63	57.31
YHR153C	YHR153C	23123.5	4.69	-0.18	0.11	0.11	34.27	94.57
YHR154W	YHR154W	123020.3	7.84	-0.55	0.09	0.13	37.99	77.18
YHR155W	YHR155W	143592.9	8.26	-0.37	0.12	0.14	41.99	82.9
YHR156C	YHR156C	40345.8	4.77	-1.09	0.09	0.14	47.68	66.56
YHR157W	YHR157W	20737.4	4.51	-0.5	0.1	0.07	62.44	70.95
YHR158C	YHR158C	131047.0	5.03	-0.74	0.07	0.14	42.36	72.58
YHR159W	YHR159W	56316.8	8.63	-1.06	0.04	0.1	63.53	56.55
YHR160C	YHR160C	32022.5	4.68	-0.76	0.08	0.13	45.95	66.54
YHR161C	YHR161C	71656.8	7.04	-0.61	0.08	0.12	47.51	71.46
YHR162W	YHR162W	14565.1	10.95	-0.05	0.12	0.15	37.48	82.89
YHR163W	YHR163W	27777.7	5.17	-0.29	0.09	0.18	36.01	80.4
YHR164C	YHR164C	171684.4	6.43	-0.45	0.06	0.12	48.0	87.33
YHR165C	YHR165C	279499.3	7.31	-0.47	0.11	0.15	40.98	79.79
YHR165W-A	YHR165W-A	9604.7	10.48	0.04	0.08	0.11	64.19	70.93
YHR166C	YHR166C	73098.8	5.08	-0.4	0.13	0.12	45.32	77.12
YHR167W	YHR167W	30286.5	4.72	-0.68	0.07	0.12	40.38	83.91
YHR168W	YHR168W	57858.9	9.55	-0.44	0.08	0.12	38.34	80.57
YHR169W	YHR169W	47895.3	10.24	-0.24	0.05	0.14	38.68	88.94
YHR170W	YHR170W	59076.8	5.12	-0.36	0.08	0.24	37.04	83.6
YHR171W	YHR171W	71419.8	6.21	-0.14	0.09	0.15	37.28	93.28
YHR172W	YHR172W	96816.8	6.31	-0.44	0.11	0.13	41.72	84.75
YHR173C	YHR173C	12877.9	7.98	-0.3	0.12	0.09	28.04	68.04
YHR174W	YHR174W	46905.6	5.85	-0.18	0.07	0.89	29.45	84.81
YHR175W	YHR175W	21651.3	7.47	-0.01	0.13	0.13	40.51	78.05
YHR175W-A	YHR175W-A	5709.7	7.35	0.73	0.18	0.08	33.09	110.55
YHR176W	YHR176W	49097.3	7.16	-0.31	0.12	0.14	48.73	81.24
YHR177W	YHR177W	52063.4	9.71	-0.83	0.1	0.12	64.58	59.3
YHR178W	YHR178W	83486.5	8.6	-0.38	0.08	0.13	45.76	78.2
YHR179W	YHR179W	45007.0	6.53	-0.54	0.11	0.41	30.21	72.0
YHR180C-B	YHR180C-B	3920.9	11.58	0.04	0.03	0.13	85.83	102.81
YHR180W	YHR180W	18130.6	4.56	0.18	0.12	0.12	43.93	94.62
YHR180W-A	YHR180W-A	6819.2	6.75	1.07	0.17	0.08	40.75	114.81
YHR181W	YHR181W	26286.9	8.55	0.42	0.17	0.12	39.84	101.28
YHR182C-A	YHR182C-A	18113.2	4.55	-0.26	0.12	0.22	28.62	75.36
YHR182W	YHR182W	90100.9	6.31	-0.56	0.09	0.13	42.8	78.55
YHR183W	YHR183W	53539.8	6.6	-0.14	0.09	0.62	33.36	85.57
YHR184W	YHR184W	65805.1	5.52	-0.91	0.08	0.14	54.54	64.6
YHR185C	YHR185C	27877.7	5.0	-0.68	0.13	0.13	52.39	61.54
YHR186C	YHR186C	177614.1	7.89	-0.41	0.09	0.13	45.58	81.0
YHR187W	YHR187W	35200.8	4.46	-0.34	0.1	0.12	47.69	84.41
YHR188C	YHR188C	68751.8	4.94	-0.17	0.1	0.14	40.21	84.26
YHR189W	YHR189W	21048.6	10.32	-0.35	0.07	0.07	66.69	85.05
YHR190W	YHR190W	51707.2	5.75	-0.11	0.11	0.3	42.8	99.28
YHR191C	YHR191C	15169.9	9.02	-0.4	0.06	0.07	38.59	82.93
YHR192W	YHR192W	32071.1	9.21	-0.5	0.1	0.13	37.3	81.98
YHR193C	YHR193C	18702.2	4.57	-0.47	0.03	0.58	35.71	82.56
YHR193C-A	YHR193C-A	14088.9	9.57	0.32	0.1	0.08	40.26	110.75
YHR194W	YHR194W	66715.2	9.65	-0.21	0.12	0.11	40.36	89.09
YHR195W	YHR195W	36406.8	4.8	-0.76	0.06	0.13	43.22	77.39
YHR196W	YHR196W	65235.8	4.48	-0.5	0.07	0.17	40.04	89.73
YHR197W	YHR197W	86717.5	5.34	-0.14	0.08	0.17	44.59	101.85
YHR198C	YHR198C	36510.1	9.49	-0.46	0.1	0.13	26.31	76.31
YHR199C	YHR199C	34121.8	9.53	-0.2	0.08	0.12	37.67	86.87
YHR199C-A	YHR199C-A	8545.0	5.19	-0.76	0.0	0.05	84.33	99.65
YHR200W	YHR200W	29730.4	4.45	-0.51	0.05	0.11	50.06	79.18
YHR201C	YHR201C	45042.8	5.39	-0.33	0.08	0.14	38.16	91.85
YHR202W	YHR202W	68982.6	6.18	-0.39	0.11	0.14	46.95	79.64
YHR203C	YHR203C	29432.7	10.73	-0.45	0.07	0.71	23.54	87.56
YHR204W	YHR204W	91209.3	4.73	-0.2	0.13	0.14	44.01	82.2
YHR205W	YHR205W	91788.5	6.03	-0.68	0.09	0.17	33.67	61.89
YHR206W	YHR206W	69199.1	7.05	-0.64	0.05	0.14	44.55	73.89
YHR207C	YHR207C	60538.0	6.42	-0.64	0.09	0.14	29.84	73.82
YHR208W	YHR208W	43603.5	9.27	-0.3	0.09	0.35	31.78	81.13
YHR209W	YHR209W	33781.6	5.79	-0.4	0.13	0.12	40.06	74.71
YHR210C	YHR210C	37927.1	5.7	-0.35	0.09	0.15	21.46	81.28
YHR211W	YHR211W	111927.2	3.93	-0.15	0.06	0.23	36.7	64.99
YHR212C	YHR212C	12879.4	11.75	-0.6	0.07	0.12	69.83	75.53
YHR212W-A	YHR212W-A	7611.7	8.93	-0.16	0.19	0.07	51.71	59.43
YHR213W	YHR213W	21131.2	3.75	-0.18	0.11	0.25	37.47	63.84
YHR213W-A	YHR213W-A	8928.8	9.96	0.56	0.14	0.08	32.81	95.39
YHR213W-B	YHR213W-B	11187.0	8.29	-0.29	0.11	0.09	37.34	56.29
YHR214C-D	YHR214C-D	10913.0	5.42	0.96	0.11	0.1	14.5	130.62
YHR214C-E	YHR214C-E	11606.0	9.34	0.4	0.14	0.11	25.28	104.16
YHR214W	YHR214W	20584.6	4.23	0.08	0.08	0.31	20.72	81.4
YHR214W-A	YHR214W-A	18045.9	12.31	0.32	0.06	0.04	58.72	124.59
YHR215W	YHR215W	52683.1	4.77	-0.39	0.13	0.33	27.61	67.78
YHR216W	YHR216W	56536.7	8.67	-0.13	0.06	0.3	31.78	86.53
YHR217C	YHR217C	17082.8	8.54	-0.48	0.05	0.17	43.11	73.9
YHR218W	YHR218W	68862.9	8.82	-0.31	0.1	0.09	39.0	80.52
YHR218W-A	YHR218W-A	11980.5	9.72	-0.14	0.06	0.09	48.13	100.9
YHR219C-A	YHR219C-A	18635.2	10.02	0.3	0.14	0.09	53.18	96.52
YHR219W	YHR219W	70121.9	6.31	-0.61	0.08	0.12	37.34	62.23
YIL001W	YIL001W	59712.1	4.8	-0.13	0.11	0.12	34.86	94.96
YIL002C	YIL002C	108423.4	6.7	-0.36	0.11	0.12	39.01	83.12
YIL002W-A	YIL002W-A	7721.7	4.28	-0.74	0.0	0.17	34.87	91.95
YIL003W	YIL003W	31916.1	5.23	-0.12	0.06	0.11	42.45	90.48
YIL004C	YIL004C	15721.0	9.03	-0.28	0.09	0.08	37.26	71.71
YIL005W	YIL005W	81221.5	7.96	-0.51	0.11	0.15	37.6	77.46
YIL006W	YIL006W	41959.8	8.83	0.01	0.12	0.1	37.89	87.35
YIL007C	YIL007C	24841.7	5.66	-0.34	0.04	0.12	38.88	98.64
YIL008W	YIL008W	11016.5	4.08	-0.1	0.06	0.2	31.13	105.65
YIL009C-A	YIL009C-A	20550.7	6.59	-0.09	0.09	0.1	52.24	86.43
YIL009W	YIL009W	77964.4	9.41	-0.16	0.1	0.21	33.38	86.99
YIL010W	YIL010W	24128.0	9.99	-0.58	0.07	0.14	46.06	78.06
YIL011W	YIL011W	26293.5	3.9	0.06	0.05	0.5	54.28	64.63
YIL012W	YIL012W	13241.6	9.5	-0.03	0.14	0.09	28.11	85.85
YIL013C	YIL013C	160528.8	6.86	0.02	0.13	0.19	41.29	86.27
YIL014C-A	YIL014C-A	11649.9	3.14	-0.14	0.12	0.12	25.49	81.72
YIL014W	YIL014W	72396.5	5.26	-0.35	0.12	0.14	38.05	78.07
YIL015W	YIL015W	63702.2	4.4	-0.2	0.1	0.12	41.28	73.12
YIL016W	YIL016W	18315.6	10.23	-0.64	0.05	0.15	40.56	90.31
YIL017C	YIL017C	105476.3	5.71	-0.19	0.09	0.11	43.08	95.39
YIL018W	YIL018W	27437.1	11.68	-0.49	0.05	0.76	22.74	81.6
YIL019W	YIL019W	38899.0	10.02	-1.13	0.04	0.15	46.76	62.28
YIL020C	YIL020C	29550.9	5.69	-0.38	0.09	0.16	23.15	83.85
YIL020C-A	YIL020C-A	14187.7	9.84	-0.19	0.27	0.14	57.06	58.44
YIL021C-A	YIL021C-A	10502.4	7.85	0.38	0.18	0.14	35.33	84.3
YIL021W	YIL021W	35274.8	4.27	-0.43	0.07	0.17	33.61	74.87
YIL022W	YIL022W	48869.1	10.02	-0.64	0.09	0.14	46.03	68.82
YIL023C	YIL023C	37414.6	7.08	0.44	0.09	0.08	35.29	106.52
YIL024C	YIL024C	21787.6	6.01	-0.71	0.1	0.14	29.88	63.67
YIL025C	YIL025C	14096.6	10.64	-0.09	0.13	0.13	48.24	86.82
YIL026C	YIL026C	132955.6	4.75	-0.43	0.09	0.17	41.12	89.17
YIL027C	YIL027C	15910.6	9.33	0.02	0.11	0.12	20.78	97.5
YIL028W	YIL028W	14958.0	9.91	0.45	0.11	0.1	33.25	93.01
YIL029C	YIL029C	16600.0	10.46	0.28	0.17	0.1	32.08	93.09
YIL029W-A	YIL029W-A	13442.7	7.52	0.28	0.07	0.09	60.56	98.99
YIL030C	YIL030C	151436.0	6.21	0.01	0.13	0.17	38.14	92.22
YIL030W-A	YIL030W-A	13558.1	10.29	0.23	0.17	0.08	54.43	88.17
YIL031W	YIL031W	116875.8	6.83	-0.72	0.07	0.15	57.41	74.0
YIL032C	YIL032C	13799.4	10.99	-0.6	0.11	0.07	62.1	68.37
YIL033C	YIL033C	47220.6	8.19	-0.69	0.09	0.18	51.85	67.91
YIL034C	YIL034C	32607.3	4.3	-0.52	0.09	0.18	58.72	80.13
YIL035C	YIL035C	44672.0	8.93	-0.55	0.13	0.18	33.95	77.64
YIL036W	YIL036W	65266.2	8.22	-0.89	0.05	0.14	44.56	63.29
YIL037C	YIL037C	75023.8	8.18	-0.08	0.1	0.1	31.53	94.84
YIL038C	YIL038C	94385.0	5.29	-0.82	0.06	0.14	51.67	67.24
YIL039W	YIL039W	54909.9	5.53	-0.47	0.14	0.21	30.05	68.43
YIL040W	YIL040W	16511.8	9.27	0.52	0.18	0.2	30.17	104.16
YIL041W	YIL041W	36655.4	4.62	-0.57	0.07	0.24	45.13	73.72
YIL042C	YIL042C	45448.3	8.51	-0.25	0.09	0.1	43.68	93.42
YIL043C	YIL043C	31498.2	9.19	-0.04	0.07	0.18	34.35	95.54
YIL044C	YIL044C	32650.0	9.98	-0.58	0.06	0.15	36.72	72.39
YIL045W	YIL045W	61942.2	8.82	-0.82	0.09	0.14	40.76	70.55
YIL046W	YIL046W	72838.5	7.69	-0.56	0.08	0.11	38.97	69.94
